epoch,train_loss,valid_loss,_rmse,time
0,56182829056.0,57378418688.0,239537.921875,00:00
1,56111837184.0,57378402304.0,239537.890625,00:00
2,56083750912.0,57378316288.0,239537.71875,00:00
3,56074543104.0,57378222080.0,239537.53125,00:00
4,56036478976.0,57378156544.0,239537.390625,00:00
5,56048406528.0,57378103296.0,239537.265625,00:00
6,56061067264.0,57378058240.0,239537.171875,00:00
7,56051269632.0,57378013184.0,239537.078125,00:00
8,55996485632.0,57377968128.0,239536.96875,00:00
9,56009818112.0,57377923072.0,239536.875,00:00
10,55988940800.0,57377873920.0,239536.78125,00:00
11,55990591488.0,57377828864.0,239536.703125,00:00
12,56030748672.0,57377804288.0,239536.640625,00:00
13,56033251328.0,57377763328.0,239536.578125,00:00
14,56081960960.0,57377742848.0,239536.515625,00:00
15,56056033280.0,57377685504.0,239536.421875,00:00
16,55991595008.0,57377652736.0,239536.328125,00:00
17,56056410112.0,57377632256.0,239536.296875,00:00
18,56009175040.0,57377607680.0,239536.21875,00:00
19,55994937344.0,57377579008.0,239536.171875,00:00
20,55993307136.0,57377554432.0,239536.125,00:00
21,55959781376.0,57377533952.0,239536.09375,00:00
22,55958220800.0,57377521664.0,239536.0625,00:00
23,55974555648.0,57377484800.0,239535.984375,00:00
24,55967318016.0,57377472512.0,239535.953125,00:00
25,56003325952.0,57377464320.0,239535.921875,00:00
26,56060125184.0,57377439744.0,239535.859375,00:00
27,56101748736.0,57377427456.0,239535.859375,00:00
28,56059670528.0,57377386496.0,239535.796875,00:00
29,56021229568.0,57377374208.0,239535.75,00:00
30,56075726848.0,57377361920.0,239535.734375,00:00
31,56073404416.0,57377341440.0,239535.671875,00:00
32,56108072960.0,57377337344.0,239535.65625,00:00
33,56080216064.0,57377296384.0,239535.578125,00:00
34,56082878464.0,57377284096.0,239535.5625,00:00
35,56042905600.0,57377259520.0,239535.515625,00:00
36,55992860672.0,57377239040.0,239535.46875,00:00
37,55976910848.0,57377230848.0,239535.453125,00:00
38,55954489344.0,57377198080.0,239535.375,00:00
39,55998722048.0,57377185792.0,239535.359375,00:00
40,56023711744.0,57377177600.0,239535.359375,00:00
41,56055885824.0,57377185792.0,239535.34375,00:00
42,56016683008.0,57377153024.0,239535.28125,00:00
43,56025219072.0,57377128448.0,239535.25,00:00
44,56001994752.0,57377107968.0,239535.1875,00:00
45,55996416000.0,57377099776.0,239535.171875,00:00
46,56005464064.0,57377087488.0,239535.140625,00:00
47,56009293824.0,57377083392.0,239535.140625,00:00
48,55999860736.0,57377046528.0,239535.0625,00:00
49,56049729536.0,57377042432.0,239535.0625,00:00
50,56064790528.0,57377030144.0,239535.03125,00:00
51,56098701312.0,57376997376.0,239534.953125,00:00
52,56057073664.0,57376980992.0,239534.9375,00:00
53,56001269760.0,57376964608.0,239534.90625,00:00
54,56027602944.0,57376964608.0,239534.890625,00:00
55,56034091008.0,57376952320.0,239534.859375,00:00
56,55980236800.0,57376903168.0,239534.78125,00:00
57,55993446400.0,57376899072.0,239534.75,00:00
58,55956762624.0,57376899072.0,239534.75,00:00
59,55937961984.0,57376890880.0,239534.734375,00:00
60,55958450176.0,57376858112.0,239534.65625,00:00
61,55978610688.0,57376837632.0,239534.640625,00:00
62,56011390976.0,57376833536.0,239534.640625,00:00
63,56009809920.0,57376813056.0,239534.578125,00:00
64,55958618112.0,57376776192.0,239534.484375,00:00
65,55984267264.0,57376784384.0,239534.484375,00:00
66,55944019968.0,57376763904.0,239534.46875,00:00
67,55929511936.0,57376755712.0,239534.46875,00:00
68,55997243392.0,57376747520.0,239534.4375,00:00
69,56007786496.0,57376710656.0,239534.359375,00:00
70,55955435520.0,57376698368.0,239534.3125,00:00
71,55949783040.0,57376681984.0,239534.296875,00:00
72,55963574272.0,57376669696.0,239534.296875,00:00
73,56002867200.0,57376657408.0,239534.25,00:00
74,56034103296.0,57376649216.0,239534.21875,00:00
75,56031739904.0,57376620544.0,239534.15625,00:00
76,56045752320.0,57376595968.0,239534.140625,00:00
77,56013656064.0,57376579584.0,239534.09375,00:00
78,56006504448.0,57376559104.0,239534.03125,00:00
79,55986700288.0,57376555008.0,239534.03125,00:00
80,55981264896.0,57376530432.0,239533.984375,00:00
81,55985147904.0,57376518144.0,239533.953125,00:00
82,55955206144.0,57376509952.0,239533.9375,00:00
83,55992041472.0,57376509952.0,239533.9375,00:00
84,56056897536.0,57376514048.0,239533.953125,00:00
85,56072355840.0,57376489472.0,239533.890625,00:00
86,56092905472.0,57376456704.0,239533.859375,00:00
87,56100368384.0,57376423936.0,239533.765625,00:00
88,56052719616.0,57376403456.0,239533.703125,00:00
89,56130281472.0,57376411648.0,239533.734375,00:00
90,56081817600.0,57376366592.0,239533.640625,00:00
91,56074035200.0,57376362496.0,239533.640625,00:00
92,56059576320.0,57376354304.0,239533.625,00:00
93,56059912192.0,57376342016.0,239533.59375,00:00
94,56017297408.0,57376325632.0,239533.546875,00:00
95,56024039424.0,57376309248.0,239533.53125,00:00
96,56018882560.0,57376301056.0,239533.5,00:00
97,56039411712.0,57376284672.0,239533.484375,00:00
98,56006344704.0,57376260096.0,239533.40625,00:00
99,55962103808.0,57376215040.0,239533.34375,00:00
100,56021991424.0,57376235520.0,239533.359375,00:00
101,56020811776.0,57376198656.0,239533.3125,00:00
102,56010457088.0,57376157696.0,239533.203125,00:00
103,56003153920.0,57376174080.0,239533.234375,00:00
104,56031100928.0,57376169984.0,239533.234375,00:00
105,55995961344.0,57376112640.0,239533.109375,00:00
106,56000450560.0,57376116736.0,239533.125,00:00
107,55999881216.0,57376129024.0,239533.140625,00:00
108,55951851520.0,57376067584.0,239533.015625,00:00
109,55989215232.0,57376063488.0,239533.015625,00:00
110,56030654464.0,57376034816.0,239532.953125,00:00
111,55969533952.0,57376006144.0,239532.890625,00:00
112,55981924352.0,57376002048.0,239532.890625,00:00
113,56004333568.0,57375985664.0,239532.84375,00:00
114,56053997568.0,57375993856.0,239532.890625,00:00
115,56068952064.0,57375985664.0,239532.84375,00:00
116,55996014592.0,57375944704.0,239532.78125,00:00
117,56041967616.0,57375952896.0,239532.796875,00:00
118,56012902400.0,57375899648.0,239532.671875,00:00
119,56021491712.0,57375920128.0,239532.71875,00:00
120,55985700864.0,57375887360.0,239532.65625,00:00
121,55979429888.0,57375875072.0,239532.625,00:00
122,56023040000.0,57375842304.0,239532.546875,00:00
123,56002244608.0,57375821824.0,239532.5,00:00
124,55981277184.0,57375801344.0,239532.46875,00:00
125,55979446272.0,57375793152.0,239532.453125,00:00
126,55964643328.0,57375780864.0,239532.421875,00:00
127,55934476288.0,57375760384.0,239532.390625,00:00
128,56004694016.0,57375756288.0,239532.359375,00:00
129,55961833472.0,57375690752.0,239532.234375,00:00
130,55937654784.0,57375690752.0,239532.234375,00:00
131,55913492480.0,57375670272.0,239532.203125,00:00
132,55917281280.0,57375682560.0,239532.21875,00:00
133,55934664704.0,57375645696.0,239532.140625,00:00
134,55877705728.0,57375559680.0,239531.96875,00:00
135,55928758272.0,57375592448.0,239532.03125,00:00
136,56011350016.0,57375612928.0,239532.09375,00:00
137,55968698368.0,57375539200.0,239531.921875,00:00
138,56015126528.0,57375584256.0,239532.03125,00:00
139,56112672768.0,57375588352.0,239532.03125,00:00
140,56115441664.0,57375518720.0,239531.875,00:00
141,56035737600.0,57375457280.0,239531.75,00:00
142,56028979200.0,57375481856.0,239531.796875,00:00
143,56006578176.0,57375465472.0,239531.765625,00:00
144,55996608512.0,57375444992.0,239531.71875,00:00
145,56004911104.0,57375416320.0,239531.671875,00:00
146,56077074432.0,57375416320.0,239531.671875,00:00
147,56116420608.0,57375424512.0,239531.671875,00:00
148,56067440640.0,57375358976.0,239531.53125,00:00
149,56078848000.0,57375334400.0,239531.5,00:00
150,56081690624.0,57375326208.0,239531.484375,00:00
151,56081395712.0,57375293440.0,239531.40625,00:00
152,56082612224.0,57375289344.0,239531.390625,00:00
153,56040665088.0,57375268864.0,239531.359375,00:00
154,55970471936.0,57375232000.0,239531.265625,00:00
155,56022548480.0,57375260672.0,239531.328125,00:00
156,56066785280.0,57375203328.0,239531.21875,00:00
157,56014602240.0,57375166464.0,239531.140625,00:00
158,56038903808.0,57375182848.0,239531.171875,00:00
159,56020955136.0,57375158272.0,239531.125,00:00
160,56021057536.0,57375121408.0,239531.046875,00:00
161,55978541056.0,57375076352.0,239530.953125,00:00
162,56002424832.0,57375105024.0,239531.015625,00:00
163,55960346624.0,57375039488.0,239530.875,00:00
164,55971463168.0,57375014912.0,239530.828125,00:00
165,55957430272.0,57375006720.0,239530.8125,00:00
166,55974572032.0,57375010816.0,239530.828125,00:00
167,56011759616.0,57375006720.0,239530.78125,00:00
168,55974895616.0,57374953472.0,239530.703125,00:00
169,55964762112.0,57374949376.0,239530.671875,00:00
170,56059019264.0,57374949376.0,239530.6875,00:00
171,56001769472.0,57374871552.0,239530.515625,00:00
172,56022085632.0,57374826496.0,239530.421875,00:00
173,55948976128.0,57374785536.0,239530.34375,00:00
174,55971057664.0,57374806016.0,239530.390625,00:00
175,56003940352.0,57374789632.0,239530.375,00:00
176,56022568960.0,57374777344.0,239530.328125,00:00
177,55994310656.0,57374732288.0,239530.234375,00:00
178,56012693504.0,57374748672.0,239530.28125,00:00
179,55983054848.0,57374695424.0,239530.15625,00:00
180,56017956864.0,57374695424.0,239530.140625,00:00
181,56009744384.0,57374642176.0,239530.046875,00:00
182,56026947584.0,57374638080.0,239530.03125,00:00
183,55974350848.0,57374633984.0,239530.03125,00:00
184,55944249344.0,57374572544.0,239529.90625,00:00
185,55955079168.0,57374494720.0,239529.765625,00:00
186,55971258368.0,57374494720.0,239529.734375,00:00
187,56021549056.0,57374478336.0,239529.703125,00:00
188,56043794432.0,57374502912.0,239529.765625,00:00
189,56052256768.0,57374457856.0,239529.671875,00:00
190,56058798080.0,57374408704.0,239529.5625,00:00
191,55997440000.0,57374396416.0,239529.5,00:00
192,56038506496.0,57374375936.0,239529.5,00:00
193,56072024064.0,57374363648.0,239529.453125,00:00
194,56074153984.0,57374339072.0,239529.421875,00:00
195,56078921728.0,57374298112.0,239529.328125,00:00
196,56137330688.0,57374298112.0,239529.3125,00:00
197,56105353216.0,57374216192.0,239529.15625,00:00
198,56025112576.0,57374175232.0,239529.0625,00:00
199,55995392000.0,57374187520.0,239529.09375,00:00
200,56018137088.0,57374228480.0,239529.1875,00:00
201,55995113472.0,57374171136.0,239529.0625,00:00
202,56005021696.0,57374093312.0,239528.921875,00:00
203,56002187264.0,57374060544.0,239528.84375,00:00
204,56063672320.0,57374076928.0,239528.859375,00:00
205,56018395136.0,57373974528.0,239528.65625,00:00
206,56000446464.0,57374007296.0,239528.71875,00:00
207,55962411008.0,57373966336.0,239528.625,00:00
208,55962673152.0,57373958144.0,239528.609375,00:00
209,55961694208.0,57373900800.0,239528.484375,00:00
210,55950163968.0,57373908992.0,239528.5,00:00
211,55943868416.0,57373896704.0,239528.484375,00:00
212,55997173760.0,57373876224.0,239528.453125,00:00
213,55974936576.0,57373835264.0,239528.359375,00:00
214,56030334976.0,57373794304.0,239528.28125,00:00
215,56004927488.0,57373749248.0,239528.1875,00:00
216,56070131712.0,57373810688.0,239528.3125,00:00
217,56045375488.0,57373720576.0,239528.125,00:00
218,56015216640.0,57373634560.0,239527.953125,00:00
219,56043180032.0,57373626368.0,239527.953125,00:00
220,56055619584.0,57373618176.0,239527.90625,00:00
221,56087011328.0,57373548544.0,239527.765625,00:00
222,56066752512.0,57373519872.0,239527.71875,00:00
223,56039677952.0,57373478912.0,239527.609375,00:00
224,56074190848.0,57373515776.0,239527.703125,00:00
225,56057581568.0,57373458432.0,239527.59375,00:00
226,55997583360.0,57373384704.0,239527.421875,00:00
227,55984107520.0,57373372416.0,239527.390625,00:00
228,56024948736.0,57373339648.0,239527.328125,00:00
229,56034721792.0,57373347840.0,239527.34375,00:00
230,56023973888.0,57373274112.0,239527.171875,00:00
